name,smiles,ESOL_predicted,measured
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.1530000000000005,-5.886
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.84,-6.523
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.496,-6.301
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.057,-4.097
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.81,-4.678
3-Ethanoyloxymethylphenytoin,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-2.7230000000000003,-4.47
3-Propanoyloxymethylphenytoin,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.128,-4.907
3-Butanoyloxymethylphenytoin,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.469,-5.071000000000001
Benzonitrile,N#Cc1ccccc1,-2.03,-1.0
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.342,-2.35
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-4.479,-5.47
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.633,-3.75
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.297,-3.927
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.012,-3.083
2-Methylphenol,Cc1ccccc1O,-2.281,-0.62
p-Aminophenol,Nc1ccc(O)cc1,-1.231,-0.8
p-Xylene ,Cc1ccc(C)cc1,-3.035,-2.77
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.6010000000000004,-3.28
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.322,-3.48
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-3.995,-5.64
Isopropylbenzene ,CC(C)c1ccccc1,-3.265,-3.27
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-2.318,-1.74
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-4.615,-3.61
Phenol,Oc1ccccc1,-1.991,0.0
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-5.106,-4.432
Hexylbenzene ,CCCCCCc1ccccc1,-4.22,-5.21
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.167999999999999,-5.65
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-2.318,-1.01
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.855,-2.09
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-3.192,-2.41
m-Chloroiodobenzene,Clc1cccc(I)c1,-4.384,-3.55
m-Xylene ,Cc1cccc(C)c1,-3.035,-2.82
"1,3-Benzenediol",Oc1cccc(O)c1,-1.59,0.81
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.148,-6.62
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.297,-3.08
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.039,-3.082
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.063,-6.124
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.546,-4.57
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.225,-5.752000000000001
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.621,-4.63
o-Aminophenol,Nc1ccccc1O,-1.465,-0.72
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-2.87,-1.601
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.4090000000000003,-2.05
2-Chlorotoluene,Cc1ccccc1Cl,-3.297,-3.52
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.557,-4.862
